Samra (SEPGCO),Amman East (IPP1),Qatrana (IPP2),Zarqa (ACWA),IPP4 (Levant),IPP3 (Amman Asia),Rehab,Risha,Aqaba steam
868.1293574211384,294.1624812652108,296.02013105714883,0.0,0.0,0.0,65.0,35.0,55.0
797.9282318897705,270.791174877128,272.90555492863217,0.0,0.0,0.0,65.0,35.0,55.0
745.4601581079478,253.32354286032248,255.6298022029203,0.0,0.0,0.0,65.0,35.0,55.0
728.4866737354655,247.67274309407995,250.04107561592815,0.0,0.0,0.0,65.0,35.0,55.0
741.8713128270117,252.12874716430898,254.44813115659784,0.0,0.0,0.0,65.0,35.0,55.0
785.2245633446862,266.5618790136714,268.72271723943317,0.0,0.0,0.0,65.0,35.0,55.0
911.064998913587,308.45658302915643,310.1572142789905,0.0,0.0,0.0,65.0,35.0,55.0
1056.2106650843978,356.7783700276375,357.9481937687762,0.0,0.0,0.0,65.0,35.0,55.0
1111.1376153686076,375.06460937691486,373.0,0.0,0.0,0.0,65.0,35.0,55.0
1117.1969053311645,377.0818636750083,373.0,0.0,0.0,0.0,65.0,35.0,55.0
1129.9491649450122,380.0,373.0,0.0,0.0,0.0,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,132.50408839980835,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,200.98944050716142,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,202.08359075293745,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,191.23440484948947,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,206.46566583087767,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,260.14891364089874,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,155.0899371659501
1150.0,380.0,373.0,0.0,250.0,0.0,297.0,35.0,98.45889850102063
1150.0,380.0,373.0,0.0,250.0,0.0,297.0,35.0,80.85040841695616
1150.0,380.0,373.0,0.0,250.0,0.0,228.00098349081105,35.0,55.0
1150.0,380.0,373.0,0.0,181.84837046730595,0.0,65.0,35.0,55.0
1004.461733248532,339.55015421147345,340.909227293017,0.0,147.04468872212507,0.0,65.0,35.0,55.0
892.8400808305863,302.3891568847537,304.1564378914771,0.0,125.36744028153853,0.0,65.0,35.0,55.0
871.7004648502161,295.35137168880436,297.1959616995741,0.0,121.26206558390142,0.0,65.0,35.0,55.0
805.3804887215902,273.27217466710033,275.3593013118207,0.0,112.5,0.0,65.0,35.0,55.0
829.6599522885057,281.35527558130326,283.3536105871933,0.0,0.0,0.0,65.0,35.0,55.0
824.9158789333169,279.7758822158491,281.79156661855666,0.0,0.0,0.0,65.0,35.0,55.0
851.6667736145588,288.68177013457307,290.5996247078704,0.0,0.0,0.0,65.0,35.0,55.0
921.039988118938,311.7774490006273,313.44160104092634,0.0,0.0,0.0,65.0,35.0,55.0
1011.4545339293162,341.87819220209485,343.21169213904443,0.0,0.0,0.0,65.0,35.0,55.0
1126.7875026502386,380.0,373.0,0.0,0.0,0.0,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,157.3624405704485,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,86.4658496807962,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,110.08062369896975,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,121.19778223100792,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,208.42031408946295,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,82.16370114465893
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,175.75175285484224
1150.0,380.0,373.0,0.0,250.0,0.0,246.0592360293618,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,0.0,297.0,35.0,92.18388703540892
1150.0,380.0,373.0,0.0,250.0,445.08155326663365,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,573.0,166.40423037254578,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,573.0,140.56389687726696,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,523.2075726075498,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,250.02337125532063,65.0,35.0,55.0
1075.7862433337702,363.29545694792546,364.39369147668225,0.0,160.89611531838875,143.25,65.0,35.0,55.0
1027.5202054141755,347.2267635784207,348.50151026919093,0.0,151.52271085284426,0.0,65.0,35.0,55.0
936.1576502878734,316.8104098220865,318.41927555033163,0.0,133.779837828316,0.0,65.0,35.0,55.0
879.315040651667,297.8864105891632,299.70315358170933,0.0,122.74083827577739,0.0,65.0,35.0,55.0
835.6437293040159,283.3473901653489,285.32384209436873,0.0,114.25974302855238,0.0,65.0,35.0,55.0
